x_coord,y_coord,Location_Code
149.959,-26.54,CAR-LB033
149.295,-26.186,CMN-LB001
149.313,-26.193,CMN-LB026
149.218,-26.18,MEL-LB001
149.2,-26.18,MEL-LB009
149.398,-26.237,PHS-LB022
149.428,-26.359,RC-INJ005
149.249,-26.136,CL-LB034
149.109,-26.097,DM-LB007
149.217,-26.044,DM-LB011
149.145,-26.18,DM-LB013
149.118,-26.129,DM-LB058
149.071,-26,SG-MB001
150.239,-26.786,CNN-LB012
149.843,-26.308,WOL-LB014
150.77,-27.02,KAI-LB003
150.364,-26.899,TAL-BH001
150.387,-26.895,TAL-MB013
150.37,-26.886,TAL-MB015
